Index,Dish Name,Base,Cooking Time,Calories per Serving,Ingredients & Quantity,Level of Cost,Dosage Size
12,Pasta e fagioli,Ditalini [300][g],Preparation: 20 minutes Cooking: 40 minutes Total: 60 minutes,520 per serving, - Dried Borlotti Beans [350][g] - Celery [1][stalk] - Carrots [1] - Onions [1] - Garlic [1][clove] - Extra Virgin Olive Oil [4][tbsp] - Tomato Paste [2][tbsp] - Vegetable Broth [1.5][l] - Rosemary [1][sprig] - Salt [to taste] - Black Pepper [to taste],Low,4
13,Tagliatelle al ragù bianco,Tagliatelle [400][g],Preparation: 15 minutes Cooking: 30 minutes Total: 45 minutes,560 per serving, - Ground Beef [400][g] - Onions [1] - Carrots [1] - Celery [1][stalk] - White Wine [100][ml] - Milk [50][ml] - Extra Virgin Olive Oil [4][tbsp] - Nutmeg [to taste] - Salt [to taste] - Black Pepper [to taste],Medium,4
14,Pasta e patate alla napoletana,Tubetti [300][g],Preparation: 15 minutes Cooking: 40 minutes Total: 55 minutes,490 per serving, - Potatoes [600][g] - Smoked Provola Cheese [100][g] - Pancetta [100][g] - Onions [1] - Celery [1][stalk] - Extra Virgin Olive Oil [3][tbsp] - Vegetable Broth [1][l] - Tomato Paste [1][tbsp] - Salt [to taste] - Pepper [to taste] - Parsley [to taste],Low,4
15,Paccheri alla crema di scampi e gamberi,Paccheri [400][g],Preparation: 15 minutes Cooking: 25 minutes Total: 40 minutes,620 per serving, - Prawns [250][g] - Langoustines [250][g] - Garlic [1][clove] - Cherry Tomatoes [200][g] - White Wine [50][ml] - Extra Virgin Olive Oil [4][tbsp] - Parsley [1][bunch] - Salt [to taste] - Black Pepper [to taste] - Cognac [50][ml],High,4
16,Gnocchi alla sorrentina,Gnocchi [400][g],Preparation: 20 minutes Cooking: 25 minutes Total: 45 minutes,520 per serving, - Potatoes [1][kg] - Flour [00][300g] - Eggs [1] - Salt [to taste] - Tomato Sauce [700][g] - Mozzarella Fiordilatte [300][g] - Parmesan Cheese [50][g] - Basil [to taste] - Extra Virgin Olive Oil [to taste],Medium,4
17,Gnocchi di zucca,Pumpkin gnocchi [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,470 per serving, - Pumpkin  [1][kg] - Flour [00][250-300g] - Potatoes [200][g] - Eggs [1] - Parmesan Cheese [50][g] - Salt [to taste] - Nutmeg [to taste],Low,4
18,Tortelli di zucca,Tortelli [300][g],Preparation: 30 minutes Cooking: 30 minutes Total: 60 minutes,510 per serving, - Flour [00][500g] - Eggs [5] - Pumpkin  [1][kg] - Amaretti Cookies [150][g] - Parmesan Cheese [100][g] - Mostarda Cremonese [100][g] - Nutmeg [to taste] - Salt [to taste],Medium,4
19,Pasta e ceci,Ditalini [300][g],Preparation: 15 minutes Cooking: 30 minutes Total: 45 minutes,500 per serving, - Dried Chickpeas [300][g] - Garlic [2][cloves] - Rosemary [1][sprig] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
20,Pasta alla Norma,Penne [400][g],Preparation: 15 minutes Cooking: 25 minutes Total: 40 minutes,480 per serving, - Eggplants [2] - Tomatoes [1][kg] - Garlic [2][cloves] - Basil [to taste] - Salt [to taste] - Extra Virgin Olive Oil [for frying] - Salted Ricotta Cheese [100][g],Medium,4
21,Ravioli di carne giapponesi,Ravioli [300][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,290 per serving, - Flour [00][250g] - Ground Pork [200][g] - Cabbage [100][g] - Scallions [2] - Garlic [1][clove] - Ginger [1][piece] - Soy Sauce [2][tbsp] - Sesame Oil [1][tbsp] - Salt [to taste] - Pepper [to taste],Medium,4
22,Pennette alla boscaiola,Pennette [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,510 per serving, - Mushrooms  [300][g] - Sausage [150][g] - Onions [1] - Garlic [1][clove] - White Wine [50][ml] - Tomato Paste [1][tbsp] - Cream [100][ml] - Parsley [to taste] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
23,Spaghetti aglio olio e peperoncino,Spaghetti [400][g],Preparation: 10 minutes Cooking: 10 minutes Total: 20 minutes,480 per serving, - Garlic [3][cloves] - Chilli Pepper  [to taste] - Extra Virgin Olive Oil [80][ml] - Parsley [to taste] - Salt [to taste],Low,4
24,Pennette con salmone e vodka,Pennette [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,520 per serving, - Smoked Salmon [150][g] - Onions [1] - Garlic [1][clove] - Vodka [50][ml] - Cream [100][ml] - Tomato Paste [1][tbsp] - Dill [to taste] - Extra Virgin Olive Oil [2][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
25,Spaghetti alla puttanesca,Spaghetti [400][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,450 per serving, - Peeled Tomatoes [400][g] - Black Olives  [100][g] - Capers  [50][g] - Anchovy Fillets in Oil [4] - Garlic [2][cloves] - Chilli Pepper [to taste] - Extra Virgin Olive Oil [50][ml] - Parsley [to taste] - Salt [to taste],Low,4
26,Spaghetti con astice in bellavista,Spaghetti [350][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,650 per serving, - Lobster [1] - Cherry Tomatoes [250][g] - Garlic [1][clove] - White Wine [50][ml] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
27,Penne all'Arrabbiata,Penne [400][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,420 per serving, - Peeled Tomatoes [500][g] - Garlic [2][cloves] - Chilli Pepper  [to taste] - Extra Virgin Olive Oil [50][ml] - Pecorino Romano Cheese  [50][g] - Salt [to taste],Low,4
28,Pasta con gamberoni,Linguine [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,540 per serving, - Prawns [500][g] - Garlic [2][cloves] - Cherry Tomatoes [250][g] - White Wine [50][ml] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
29,Ravioli di pesce,Ravioli [300][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,450 per serving, - Flour [00][300g] - Eggs [3] - White Fish Fillet  [300][g] - Ricotta [100][g] - Parmesan Cheese [50][g] - Lemon Zest [1] - Parsley [1][bunch] - Garlic [1][clove] - Salt [to taste] - Pepper [to taste] - Extra Virgin Olive Oil [2][tbsp],Medium,4
30,Pappardelle con speck e funghi porcini,Pappardelle [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,560 per serving, - Speck  [100][g] - Porcini Mushrooms [300][g] - Garlic [1][clove] - White Wine [50][ml] - Cream [100][ml] - Parsley [to taste] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
31,Linguine agli scampi,Linguine [400][g],Preparation: 20 minutes Cooking: 25 minutes Total: 45 minutes,590 per serving, - Langoustines [500][g] - Cherry Tomatoes [300][g] - Garlic [2][cloves] - White Wine [50][ml] - Extra Virgin Olive Oil [4][tbsp] - Parsley [1][bunch] - Salt [to taste] - Black Pepper [to taste],High,4
32,Pasta allo scarpariello,Rigatoni [350][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,480 per serving, - Tomatoes  [500][g] - Garlic [2][cloves] - Extra Virgin Olive Oil [4][tbsp] - Pecorino Romano Cheese  [50][g] - Parmesan Cheese  [50][g] - Basil [to taste] - Salt [to taste] - Black Pepper [to taste],Low,4
33,Spaghetti alla Nerano,Spaghetti [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,470 per serving, - Zucchini [500][g] - Provolone del Monaco Cheese [200][g] - Garlic [1][clove] - Basil [1][bunch] - Extra Virgin Olive Oil [for frying] - Salt [to taste] - Black Pepper [to taste],Low,4
34,Pasta ai 4 formaggi,Penne [350][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,620 per serving, - Gorgonzola Cheese [80][g] - Fontina Cheese [80][g] - Parmesan Cheese  [80][g] - Gruyere Cheese [80][g] - Cream [100][ml] - Butter [20][g] - Salt [to taste] - Black Pepper [to taste],Medium,4
35,Spaghetti con le polpette,Spaghetti [350][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,550 per serving, - Ground Beef [300][g] - Ground Pork [200][g] - Eggs [2] - Stale Bread  [100][g] - Parmesan Cheese  [50][g] - Garlic [1][clove] - Parsley [1][bunch] - Peeled Tomatoes [700][g] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
36,Tortellini in brodo,Tortellini [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,490 per serving, - Pork Loin  [100][g] - Prosciutto Crudo  [50][g] - Mortadella  [50][g] - Parmesan Cheese  [50][g] - Eggs [1] - Nutmeg [to taste] - Salt [to taste] - Black Pepper [to taste] - Beef  [500][g] - Chicken  [500][g] - Carrots [1] - Celery [1][stalk] - Onions [1] - Salt [to taste],Medium,4
37,Pasta pasticciata,Rigatoni [400][g],Preparation: 30 minutes Cooking: 40 minutes Total: 70 minutes,620 per serving, - Ground Beef [300][g] - Tomato Sauce [500][g] - Mozzarella Cheese [200][g] - Parmesan Cheese  [50][g] - Onions [1] - Carrots [1] - Celery [1][stalk] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste] - Milk [500 ml] - Butter [50 g] - Flour [50 g] - Nutmeg - Salt,High,4
38,Linguine al nero di seppia,Linguine [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,480 per serving, - Squid Ink [2][sachets] - Squid  [400][g] - Garlic [2][cloves] - White Wine [50][ml] - Cherry Tomatoes [200][g] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
39,Pasta con le sarde,Bucatini [350][g],Preparation: 20 minutes Cooking: 25 minutes Total: 45 minutes,510 per serving, - Fresh Sardines [600][g] - Wild Fennel [500][g] - Onions [1] - Raisins [50][g] - Pine Nuts [50][g] - Anchovy Fillets in Oil [2] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste] - Breadcrumbs [50][g] - Saffron [1][pinch],Medium,4
40,Spaghetti con le cozze,Spaghetti [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,530 per serving, - Mussels [1][kg] - Garlic [2][cloves] - Parsley [1][bunch] - White Wine [50][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
41,Gnocchi ai 4 formaggi,Gnocchi [400][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,620 per serving, - Gorgonzola Cheese [80][g] - Fontina Cheese [80][g] - Parmesan Cheese  [80][g] - Gruyere Cheese [80][g] - Cream [100][ml] - Butter [20][g] - Salt [to taste] - Black Pepper [to taste],Medium,4
42,Spaghetti al pomodoro,Spaghetti [400][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,480 per serving, - Peeled Tomatoes [400][g] - Garlic [1][clove] - Extra Virgin Olive Oil [50][ml] - Basil [to taste] - Salt [to taste],Low,4
43,Cannelloni ripieni di carne alla Umbra,Cannelloni [400][g],Preparation: 30 minutes Cooking: 40 minutes Total: 70 minutes,640 per serving, - Ground Beef [250][g] - Sausage [150][g] - Onions [1] - Carrots [1] - Celery [1][stalk] - Red Wine [100][ml] - Tomato Sauce [500][g] - Milk [500][ml] - Butter [50][g] - Flour [50][g] - Nutmeg [to taste] - Parmesan Cheese  [100][g] - Eggs [2] - Salt [to taste] - Black Pepper [to taste],High,4
44,Ravioli ricotta e spinaci burro e salvia,Ravioli [400][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,500 per serving, - Ricotta [250][g] - Spinach [250][g] - Parmesan Cheese  [50][g] - Eggs [1] - Flour [00][200g] - Butter [100][g] - Sage [to taste] - Salt [to taste] - Black Pepper [to taste],Medium,4
45,Pasta alla zozzona,Rigatoni [400][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,650 per serving, - Sausage [200][g] - Guanciale  [100][g] - Onions [1] - Tomato Sauce [300][g] - Pecorino Romano Cheese  [100][g] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
46,Carbonara alla romana cremosa,Spaghetti [350][g],Preparation: 10 minutes Cooking: 20 minutes Total: 30 minutes,570 per serving, - Eggs [4] - Guanciale [150][g] - Pecorino Romano Cheese  [100][g] - Black Pepper [to taste],Medium,4
47,Malloreddus alla campidanese,Malloreddus [400][g],Preparation: 15 minutes Cooking: 25 minutes Total: 40 minutes,520 per serving, - Sausage [300][g] - Tomato Sauce [700][g] - Onions [1] - Saffron [1][pinch] - Pecorino Sardo Cheese  [50][g] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste],Medium,4
48,Pasta e fagioli alla napoletana,Ditalini [300][g],Preparation: 20 minutes Cooking: 40 minutes Total: 60 minutes,510 per serving, - Dried Borlotti Beans [200][g] - Celery [1][stalk] - Carrots [1] - Onions [1] - Garlic [1][clove] - Extra Virgin Olive Oil [4][tbsp] - Tomato Paste [1][tbsp] - Vegetable Broth [1][l] - Salt [to taste] - Black Pepper [to taste],Low,4
49,Spaghetti alle vongole e pomodorini,Spaghetti [400][g],Preparation: 20 minutes Cooking: 15 minutes Total: 35 minutes,520 per serving, - Clams [1][kg] - Cherry Tomatoes [250][g] - Garlic [2][cloves] - Parsley [1][bunch] - White Wine [50][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
50,Strozzapreti al sugo di canocchie,Strozzapreti [350][g],Preparation: 20 minutes Cooking: 25 minutes Total: 45 minutes,550 per serving, - Mantis Shrimp  [500][g] - Tomato Sauce [400][g] - Garlic [1][clove] - Onions [1] - White Wine [50][ml] - Parsley [1][bunch] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
51,"Trenette al pesto, patate e fagiolini",Trenette [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,500 per serving, - Pesto  [150][g] - Potatoes  [200][g] - Green Beans  [200][g],Medium,4
52,Pasta alla carrettiera,Spaghetti [400][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,480 per serving, - Garlic [2][cloves] - Extra Virgin Olive Oil [50][ml] - Chilli Pepper  [to taste] - Parsley [1][bunch] - Pecorino Romano Cheese  [50][g] - Salt [to taste] - Black Pepper [to taste],Low,4
53,Tortellini panna e prosciutto,Tortellini [350][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,580 per serving, - Cooked Ham  [100][g] - Cream [200][ml] - Parmesan Cheese  [50][g] - Butter [20][g] - Salt [to taste] - Black Pepper [to taste],Medium,4
54,Tagliatelle all'arancia,Tagliatelle [350][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,470 per serving, - Orange Juice [200][ml] - Orange Zest [1] - Butter [50][g] - Shallot [1] - Cream [100][ml] - Parmesan Cheese  [50][g] - Salt [to taste] - Black Pepper [to taste],Medium,4
55,Pasta alla checca,Penne [400][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,450 per serving, - Tomatoes  [500][g] - Mozzarella  [200][g] - Garlic [1][clove] - Extra Virgin Olive Oil [50][ml] - Basil [to taste] - Salt [to taste] - Black Pepper [to taste],Low,4
56,Fettuccine alla crema di gamberetti e brandy,Fettuccine [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,540 per serving, - Prawns  [300][g] - Garlic [1][clove] - Brandy [50][ml] - Cream [100][ml] - Tomato Paste [1][tbsp] - Parsley [to taste] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
57,Fettuccine Alfredo,Fettuccine [350][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,510 per serving, - Butter [100][g] - Parmesan Cheese  [100][g] - Cream [50][ml] - Salt [to taste] - Black Pepper [to taste],Medium,4
58,Bavette al pesto,Bavette [400][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,500 per serving, - Pesto  [150][g],Medium,4
59,Ravioli di ricotta sardi,Ravioli [400][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,480 per serving, - Semolina Flour [300][g] - Salt [to taste] - Sheep's Milk Ricotta [500][g] - Saffron [1][pinch] - Lemon Zest [1] - Sugar [50][g],Medium,4
60,Ravioli del plin,Ravioli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,530 per serving, - Flour [00][300g] - Eggs [13] - Beef  [150][g] - Pork  [100][g] - Spinach  [100][g] - Parmesan Cheese  [50][g] - Nutmeg [to taste] - Salt [to taste] - Black Pepper [to taste],High,4
61,Pasta alla marinara,Spaghetti [400][g],Preparation: 10 minutes Cooking: 20 minutes Total: 30 minutes,480 per serving, - Peeled Tomatoes [700][g] - Garlic [2][cloves] - Mussels [680][g] - Extra Virgin Olive Oil [4][tbsp] - Parsley [1][bunch] - Basil [to taste] - Clams [740][g] - Salt [to taste] - Black Pepper [to taste] - Scallops [340][g] - Shrimps [190][g] - King prawns [200][g],Low,4
62,Fettuccine alla papalina,Fettuccine [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,540 per serving, - Prosciutto Crudo  [100][g] - Peas  [100][g] - Onions [1] - Butter [50][g] - Eggs [3] - Parmesan Cheese  [50][g] - Cream [50][ml] - Salt [to taste] - Black Pepper [to taste],Medium,4
63,Pasta con broccoli arriminati,Bucatini [400][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,470 per serving, - Broccoli [1][kg] - Onions [1] - Anchovy Fillets in Oil [4] - Raisins [50][g] - Pine Nuts [30][g] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
64,Tortelli di zucca burro e salvia,Tortelli [400][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,500 per serving, - Flour [00][500g] - Eggs [5] - Pumpkin  [1][kg] - Amaretti Cookies [150][g] - Parmesan Cheese [100][g] - Mostarda Cremonese [100][g] - Nutmeg [to taste] - Salt [to taste] - Butter [100][g] - Sage [to taste],Medium,4
65,Spaghetti con cozze e pomodorini,Spaghetti [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,530 per serving, - Mussels [1][kg] - Cherry Tomatoes [250][g] - Garlic [2][cloves] - Parsley [1][bunch] - White Wine [50][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
66,Pasta e fagioli con pancetta,Ditalini [300][g],Preparation: 20 minutes Cooking: 40 minutes Total: 60 minutes,520 per serving, - Dried Borlotti Beans [350][g] - Pancetta  [100][g] - Celery [1][stalk] - Carrots [1] - Onions [1] - Garlic [1][clove] - Extra Virgin Olive Oil [4][tbsp] - Tomato Paste [2][tbsp] - Vegetable Broth [1.5][l] - Rosemary [1][sprig] - Salt [to taste] - Black Pepper [to taste],Low,4
67,Pasta alla Norma leggera,Penne [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,480 per serving, - Eggplants [2] - Tomatoes [1][kg] - Garlic [2][cloves] - Basil [to taste] - Salt [to taste] - Extra Virgin Olive Oil [for frying] - Salted Ricotta Cheese [100][g],Low,4
68,Gnocchi alla parigina,Gnocchi [400][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,620 per serving, - Milk [500][ml] - Flour [150][g] - Butter [100][g] - Eggs [4] - Parmesan Cheese  [100][g] - Salt [to taste] - Black Pepper [to taste] - Nutmeg [to taste],Medium,4
69,Pasta 'ncasciata messinese,Rigatoni [400][g],Preparation: 30 minutes Cooking: 40 minutes Total: 70 minutes,640 per serving, - Ground Beef [300][g] - Ground Pork [200][g] - Eggplants [2] - Peeled Tomatoes [700][g] - Onions [1] - Caciocavallo Cheese [200][g] - Salami  [100][g] - Eggs [2] - Red Wine [100][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste] - Breadcrumbs [to taste],High,4
70,Pasta cacio e ova,Spaghetti [400][g],Preparation: 10 minutes Cooking: 10 minutes Total: 20 minutes,470 per serving, - Eggs [4] - Pecorino Romano Cheese  [150][g] - Extra Virgin Olive Oil [2][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
71,Gnocchi alla bava,Gnocchi [400][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,580 per serving, - Fontina Cheese  [200][g] - Butter [50][g] - Cream [100][ml],Medium,4
72,Ravioli con brodo di cappone,Ravioli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,500 per serving, - Flour [00][300g] - Eggs [3] - Capon  [1][whole] - Carrots [2] - Celery [2][stalks] - Onions [2] - Parmesan Cheese  [100][g] - Cooked Ham [100][g] - Mortadella [100][g] - Nutmeg [to taste] - Salt [to taste] - Black Pepper [to taste],Medium,4
73,Pappardelle ai funghi porcini,Pappardelle [350][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,560 per serving, - Porcini Mushrooms  [400][g] - Garlic [1][clove] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
74,Spaghetti all'acqua pazza,Spaghetti [350][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,480 per serving, - Sea Bass  [2][medium] - Cherry Tomatoes [250][g] - Garlic [1][clove] - Parsley [1][bunch] - White Wine [100][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
75,Rigatoni con la pajata,Rigatoni [400][g],Preparation: 15 minutes Cooking: 25 minutes Total: 40 minutes,520 per serving, - Veal Intestines  [600][g] - Peeled Tomatoes [500][g] - Onions [1] - Celery [1][stalk] - White Wine [100][ml] - Extra Virgin Olive Oil [3][tbsp] - Pecorino Romano Cheese  [to taste] - Salt [to taste] - Black Pepper [to taste],High,4
76,Linguine vongole e bottarga,Linguine [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,600 per serving, - Clams [1][kg] - Garlic [2][cloves] - Extra Virgin Olive Oil [4][tbsp] - Parsley [1][bunch] - Bottarga  [50][g] - White Wine [50][ml] - Salt [to taste] - Black Pepper [to taste],High,4
77,Genovese di polpo,Ziti [400][g],Preparation: 30 minutes Cooking: 3 hours Total: 3 hours 30 minutes,580 per serving, - Octopus [1][kg] - Onions  [1.5][kg] - Carrots [2] - Celery [2][stalks] - White Wine [100][ml] - Extra Virgin Olive Oil [5][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
78,Cannelloni alla napoletana,Cannelloni [400][g],Preparation: 30 minutes Cooking: 40 minutes Total: 70 minutes,650 per serving, - Ground Beef [300][g] - Tomato Sauce [700][g] - Mozzarella [250][g] - Ricotta [250][g] - Parmesan Cheese  [100][g] - Eggs [2] - Onions [1] - Carrots [1] - Celery [1][stalk] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste] - Nutmeg [to taste] - Milk [500 ml] - Butter [50 g] - Flour [50 g] - Nutmeg - Salt,High,4
79,Gnocchi di malga,Gnocchi [400][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,620 per serving, - Ricotta [250][g] - Flour [100][g] - Eggs [1] - Butter [50][g] - Parmesan Cheese  [50][g] - Sage [to taste] - Salt [to taste] - Black Pepper [to taste],High,4
80,Pappardelle al ragù di capriolo,Pappardelle [350][g],Preparation: 30 minutes Cooking: 1 hour Total: 1 hour 30 minutes,720 per serving, - Roe Deer Meat  [500][g] - Red Wine [200][ml] - Onions [1] - Carrots [1] - Celery [1][stalk] - Juniper Berries [5] - Cloves [2] - Bay Leaf [1] - Tomato Paste [1][tbsp] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
